Giro empresa,Empresa Exportadora,País destino,Producto
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (TORREON UHT)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (TORREON QUESOS)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (AGUASCALIENTES)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (IRAPUATO)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,COMERCIALIZADORA DE LÁCTEOS Y DERIVADOS S.A. DE C.V. (PLANTA VERACRUZ),NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (LAGOS DE MORENO)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (OCOTLÁN)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (NANTLI)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO GERBER)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO CARNATION)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEAD JOHNSON NUTRICIONALES S. DE R.L. DE C. V. ,NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"ILAS MÉXICO, S.A. DE C.V.",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"MONDELEZ DE MÉXICO, S. DE R.L. DE C.V",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"HERSHEY MÉXICO, S.A. DE C.V.",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"PROLACNI, S.A. DE C.V.",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (PLANTA LAGOS)",NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,DANONE DE MÉXICO S.A. DE C.V.,NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,PASTEURIZADORA MAULEC. S.A. DE C.V.,NICARAGUA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"GANADEROS PRODUCTORES DE LECHE PURA, S.A.P.I. DE C.V. (CUAUTITLAN)",PANAMA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (OCOTLÁN)",PANAMA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",PANAMA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"INDUSTRIAS LÁCTEAS DE VALLEJO, S. DE R.L. DE C.V.",PANAMA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (PLANTA LAGOS)",PANAMA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEAD JOHNSON NUTRICIONALES S. DE R.L. DE C. V. ,PANAMA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",PANAMA,CONSUMO HUMANO 
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO LA CERRADA;COLOMBIA;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO LA CERRADA;ECUADOR;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO LA CERRADA;PANAMÁ;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO LA CERRADA;GUATEMALA ;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO LA CERRADA;CUBA;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO A & J;COLOMBIA;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO A & J;ECUADOR;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO A & J;PANAMÁ;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO A & J;GUATEMALA ;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO A & J;CUBA;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EX HACIENDA EL ZOQUITAL;COLOMBIA;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EX HACIENDA EL ZOQUITAL;ECUADOR;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EX HACIENDA EL ZOQUITAL;PANAMÁ;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EX HACIENDA EL ZOQUITAL;GUATEMALA ;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EX HACIENDA EL ZOQUITAL;CUBA;OVINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EL ACICATE;COLOMBIA;CAPRINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EL ACICATE;ECUADOR;CAPRINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EL ACICATE;PANAMÁ;CAPRINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EL ACICATE;GUATEMALA ;CAPRINOS,,,
UNIDAD DE PRODUCCIÓN PECUARIA;RANCHO EL ACICATE;CUBA;CAPRINOS,,,
